train_pitch_type_acc,train_desc_acc,train_event_acc,val_pitch_type_acc,val_desc_acc,val_event_acc,epoch,train_loss,val_loss
44.389447567402456,37.16580595712149,50.11959037970101,,,,,,
,,,47.21980874464388,37.74665378777425,51.03492403612934,,,
,,,,,,1.0,5.044246612648499,4.780540095468803
47.30557071800088,37.79015697687019,51.19249401428141,,,,,,
,,,47.840282349893684,37.90336888170474,51.37072253718832,,,
,,,,,,2.0,4.765766061947446,4.728492654977983
47.72994311919615,37.942267110912326,51.362735166515186,,,,,,
,,,48.14721373757434,37.98931577598612,51.44462796799746,,,
,,,,,,3.0,4.740059527384319,4.714426821285294
48.37828516058687,38.173781887466085,51.61233126225197,,,,,,
,,,48.84040647159772,38.171657237477575,51.582022627958075,,,
,,,,,,4.0,4.6998580888067085,4.680074729218824
48.51557318932026,38.22698102761036,51.62497845637276,,,,,,
,,,48.966416984166386,38.190975576100456,51.59888695445144,,,
,,,,,,5.0,4.69330429762767,4.675087587828875
48.595815210043604,38.24427074815724,51.63241798232617,,,,,,
,,,48.968575622497326,38.18624455439689,51.65444002995898,,,
,,,,,,6.0,4.689685738549191,4.673030637048935
48.95319563847531,38.397366051461304,51.80439502394908,,,,,,
,,,49.28643511672837,38.347493544126635,51.68221656771275,,,
,,,,,,7.0,4.666867546570839,4.653691979735014
48.99571042340477,38.42662557854065,51.80600692123898,,,,,,
,,,49.329203138660134,38.35912397248122,51.715945220699474,,,
,,,,,,8.0,4.663340746516381,4.651626014347088
49.06179208752988,38.43288140335391,51.79187182192751,,,,,,
,,,49.38708162890848,38.37607680025232,51.68866469254845,,,
,,,,,,9.0,4.661353047688802,4.64957421334806
49.26381317499807,38.538688582085285,51.939918388400294,,,,,,
,,,49.5685421636032,38.448619133040275,51.720905316726935,,,
,,,,,,10.0,4.646624195132101,4.63911578653733
49.32450041756194,38.550559871691554,51.93024700466086,,,,,,
,,,49.61994473885873,38.442113978197874,51.73727363361755,,,
,,,,,,11.0,4.644172272942694,4.63777420715564
49.32908567588899,38.57036177385637,51.94475408027,,,,,,
,,,49.59592988742701,38.45433578426541,51.73181752798734,,,
,,,,,,12.0,4.642882479171572,4.63761138312042
49.48903027517956,38.62464460018876,52.018653371407176,,,,,,
,,,49.7218054851,38.511305170612474,51.81514714124865,,,
,,,,,,13.0,4.633646510917803,4.630974242927305
49.52527404504409,38.64528389622621,52.02683684995592,,,,,,
,,,49.712361442402134,38.521358591732536,51.79133868031685,,,
,,,,,,14.0,4.631925181481731,4.630115514770952
49.527027232051495,38.644939086984536,52.03378040751243,,,,,,
,,,49.72194039999568,38.51327642965562,51.834491515755744,,,
,,,,,,15.0,4.630897833521368,4.629446139586281
49.615698036464266,38.70646290739212,52.08796495487307,,,,,,
,,,49.755938953708004,38.5783279780796,51.89550069689349,,,
,,,,,,16.0,4.625141088526492,4.626074199060461
49.6416586902277,38.71409796917208,52.109663572237174,,,,,,
,,,49.75418506006411,38.570837193715626,51.88607651444132,,,
,,,,,,17.0,4.624221865034066,4.625823651483499
49.62513827419642,38.71582201538046,52.1060678013597,,,,,,
,,,49.769565358172066,38.560783772595556,51.900956802523694,,,
,,,,,,18.0,4.6237542989040685,4.625480181058046
49.70504314357219,38.75606617973034,52.135949897272546,,,,,,
,,,49.77779516680878,38.58325612568748,51.8880605528523,,,
,,,,,,19.0,4.6202483787294994,4.624009704952228
49.70413283493374,38.738776459183455,52.14301744692828,,,,,,
,,,49.7792792306613,38.58424175520905,51.88508449523583,,,
,,,,,,20.0,4.619823284405899,4.623708474326541
49.71377536347444,38.76606564773894,52.13793377086012,,,,,,
,,,49.79115174148147,38.58700151786946,51.88657252404406,,,
,,,,,,21.0,4.619272867460999,4.623575628219035
49.74233208261422,38.77355293412961,52.16211223020869,,,,,,
,,,49.80410357146712,38.58700151786946,51.89599670649624,,,
,,,,,,22.0,4.61761612299408,4.622944590862677
49.744186415025894,38.78123725437268,52.151696893873925,,,,,,
,,,49.803698826780064,38.600208953458576,51.89649271609898,,,
,,,,,,23.0,4.617290965508396,4.622832138527791
49.754570676531266,38.75626321358273,52.12975029231137,,,,,,
,,,49.79978629480524,38.58798714739104,51.89798074490722,,,
,,,,,,24.0,4.617066426326241,4.622767940663778
49.75355922248853,38.78301055904415,52.16273219070481,,,,,,
,,,49.80450831615417,38.59153541366871,51.87516430318091,,,
,,,,,,25.0,4.615985078049008,4.622464522445708
49.76151599429135,38.77980875894288,52.178231203107735,,,,,,
,,,49.815166592913194,38.59626643537227,51.88359646642759,,,
,,,,,,26.0,4.616021093940886,4.6224136536751015
49.794489396084394,38.78473460525253,52.18009108459609,,,,,,
,,,49.80653203958943,38.6045457233535,51.88161242801661,,,
,,,,,,27.0,4.61584397638401,4.622364650880936
49.76923676015087,38.76404605075198,52.186042705358815,,,,,,
,,,49.80815101833763,38.59606930946796,51.89550069689349,,,
,,,,,,28.0,4.615200758018101,4.622206232531151
49.76299946022069,38.78695123609187,52.161492269712575,,,,,,
,,,49.81327778437362,38.59192966547734,51.88855656245505,,,
,,,,,,29.0,4.615561919540804,4.62217707842343
49.777362107627475,38.76601638927584,52.171287645551224,,,,,,
,,,49.809365252398784,38.58995840643419,51.89897276411271,,,
,,,,,,30.0,4.6149609937992535,4.622142297697641
49.78686977562915,38.79901955955053,52.206005433333786,,,,,,
,,,49.82595978456789,38.58838139919967,51.89550069689349,,,
,,,,,,31.0,4.614916524109346,4.622077989306459
49.77705867141466,38.77813397119759,52.18294290287823,,,,,,
,,,49.818269635513914,38.591338287764394,51.904428869742915,,,
,,,,,,32.0,4.614706415839358,4.622064520393164
49.78848810209752,38.80453650741734,52.1690557877652,,,,,,
,,,49.817190316348444,38.59547793175501,51.900956802523694,,,
,,,,,,33.0,4.614760447265794,4.6220422241037
49.78862296263655,38.797196996415956,52.17934713200075,,,,,,
,,,49.82042827384486,38.59114116186008,51.90294084093468,,,
,,,,,,34.0,4.614427908960072,4.622031206115278
49.79010642856589,38.76350420765792,52.17103966135278,,,,,,
,,,49.823936061132635,38.58897277691261,51.89649271609898,,,
,,,,,,35.0,4.6141377714826115,4.622014692571059
49.78636404860779,38.78005505125836,52.17897515570308,,,,,,
,,,49.823126571758536,38.590944035955765,51.90393286014017,,,
,,,,,,36.0,4.614331699833451,4.622009964363722
49.79738889767356,38.79901955955053,52.19187033402232,,,,,,
,,,49.821912337697384,38.59173253957302,51.89946877371546,,,
,,,,,,37.0,4.614306888519915,4.621998770316996
49.77837356167021,38.771484078679556,52.18529875276347,,,,,,
,,,49.82811842289883,38.59291529499892,51.902444831331934,,,
,,,,,,38.0,4.614443911811424,4.621995531508559
49.78902754425364,38.793748903999195,52.17934713200075,,,,,,
,,,49.82663435904632,38.59488655404207,51.90542088894841,,,
,,,,,,39.0,4.614541808858526,4.621992865267096
49.768967039072805,38.80887125216984,52.17289954284113,,,,,,
,,,49.825150295193794,38.59705493898953,51.906412908153904,,,
,,,,,,40.0,4.614358875700527,4.621988725632033
49.788218381019455,38.78365091906441,52.188398555244056,,,,,,
,,,49.82609469946358,38.59606930946796,51.904924879345664,,,
,,,,,,41.0,4.614346409221538,4.621983755231281
49.806188547845316,38.789906743877665,52.189390492037845,,,,,,
,,,49.82663435904632,38.59804056851111,51.90393286014017,,,
,,,,,,42.0,4.614146981952875,4.621982186409852
49.78511658862175,38.78049837742623,52.1949701365029,,,,,,
,,,49.82717401862905,38.597843442606795,51.90393286014017,,,
,,,,,,43.0,4.61456111725228,4.621982077694604
49.80069298087981,38.765425287718685,52.19608606539591,,,,,,
,,,49.826364529254946,38.5952808058507,51.903436850537425,,,
,,,,,,44.0,4.6142614181137995,4.621981292528922
49.79806320036871,38.792566700884876,52.17066768505511,,,,,,
,,,49.82690418883768,38.59587218356364,51.90194882172919,,,
,,,,,,45.0,4.61439216225655,4.621980440020184
49.814010459109106,38.791630790086046,52.19038242883163,,,,,,
,,,49.8283882526902,38.59567505765933,51.902444831331934,,,
,,,,,,46.0,4.614273392200848,4.621979264687556
49.77978959733003,38.79990621188627,52.19819393108271,,,,,,
,,,49.827713678211786,38.59626643537227,51.90046079292095,,,
,,,,,,47.0,4.614311119043346,4.621978554414601
49.80895318889545,38.803058753524446,52.18071104509221,,,,,,
,,,49.82703910373336,38.596463561276586,51.899964783318204,,,
,,,,,,48.0,4.614321559700622,4.621978085127112
49.797692333886374,38.79153227315985,52.18802657894639,,,,,,
,,,49.827443848420415,38.5966606871809,51.90046079292095,,,
,,,,,,49.0,4.6141805883635625,4.621977958292656
49.800490690071264,38.80502909204831,52.17413946383336,,,,,,
,,,49.82825333779452,38.596857813085215,51.90046079292095,,,
,,,,,,50.0,4.614373041954856,4.621977521619742
